Iter| Action |	Reward	|	Done	|	Acc_rw
0	|	5	 |	-1000.0000	|	false	|	 -1000.0000
1	|	9	 |	-1000.0000	|	false	|	 -2000.0000
2	|	5	 |	-1000.0000	|	false	|	 -3000.0000
3	|	5	 |	-1000.0000	|	false	|	 -4000.0000
4	|	5	 |	-1000.0000	|	false	|	 -5000.0000
5	|	5	 |	-1000.0000	|	false	|	 -6000.0000
6	|	5	 |	-1000.0000	|	false	|	 -7000.0000
7	|	5	 |	-1000.0000	|	false	|	 -8000.0000
8	|	5	 |	-1000.0000	|	false	|	 -9000.0000
9	|	5	 |	-1000.0000	|	false	|	 -10000.0000
10	|	9	 |	-1000.0000	|	false	|	 -11000.0000
11	|	4	 |	-2.9358	|	false	|	 -11002.9358
12	|	5	 |	-1000.0000	|	false	|	 -12002.9358
13	|	4	 |	-1000.0000	|	false	|	 -13002.9358
14	|	5	 |	-1000.0000	|	false	|	 -14002.9358
15	|	5	 |	-1000.0000	|	false	|	 -15002.9358
16	|	5	 |	-1000.0000	|	false	|	 -16002.9358
17	|	5	 |	-1000.0000	|	false	|	 -17002.9358
18	|	5	 |	-1000.0000	|	false	|	 -18002.9358
19	|	5	 |	-1000.0000	|	false	|	 -19002.9358
20	|	5	 |	-1000.0000	|	false	|	 -20002.9358
21	|	9	 |	-2.9358	|	false	|	 -20005.8716
22	|	9	 |	-1000.0000	|	false	|	 -21005.8716
23	|	5	 |	-2.9358	|	false	|	 -21008.8074
24	|	9	 |	-2.9358	|	false	|	 -21011.7431
25	|	9	 |	-1000.0000	|	false	|	 -22011.7431
26	|	5	 |	-2.9358	|	false	|	 -22014.6789
27	|	9	 |	-2.9358	|	false	|	 -22017.6147
28	|	5	 |	-2.9358	|	false	|	 -22020.5505
29	|	9	 |	-2.9358	|	false	|	 -22023.4863
30	|	9	 |	-1000.0000	|	false	|	 -23023.4863
31	|	9	 |	-1000.0000	|	false	|	 -24023.4863
32	|	4	 |	-1000.0000	|	false	|	 -25023.4863
33	|	4	 |	-1000.0000	|	false	|	 -26023.4863
34	|	4	 |	-1000.0000	|	false	|	 -27023.4863
35	|	4	 |	-1000.0000	|	false	|	 -28023.4863
36	|	4	 |	-1000.0000	|	false	|	 -29023.4863
37	|	4	 |	-1000.0000	|	false	|	 -30023.4863
38	|	4	 |	-1000.0000	|	false	|	 -31023.4863
39	|	4	 |	-1000.0000	|	false	|	 -32023.4863
40	|	4	 |	-1000.0000	|	false	|	 -33023.4863
41	|	5	 |	-2.9358	|	false	|	 -33026.4221
42	|	5	 |	-1000.0000	|	false	|	 -34026.4221
43	|	5	 |	-1000.0000	|	false	|	 -35026.4221
44	|	9	 |	-2.9358	|	false	|	 -35029.3578
45	|	5	 |	-2.9358	|	false	|	 -35032.2936
46	|	5	 |	-1000.0000	|	false	|	 -36032.2936
47	|	5	 |	-1000.0000	|	false	|	 -37032.2936
48	|	9	 |	-2.9358	|	false	|	 -37035.2294
49	|	5	 |	0.0000	|	true	|	 -37035.2294
