Iter| Action |	Reward	|	Done	|	Acc_rw
0	|	13	 |	-40.0000	|	false	|	 -40.0000
1	|	13	 |	-40.0000	|	false	|	 -80.0000
2	|	13	 |	-40.0000	|	false	|	 -120.0000
3	|	13	 |	-40.0000	|	false	|	 -160.0000
4	|	13	 |	-40.0000	|	false	|	 -200.0000
5	|	13	 |	-40.0000	|	false	|	 -240.0000
6	|	13	 |	-40.0000	|	false	|	 -280.0000
7	|	13	 |	-40.0000	|	false	|	 -320.0000
8	|	13	 |	-40.0000	|	false	|	 -360.0000
9	|	13	 |	-40.0000	|	false	|	 -400.0000
10	|	13	 |	-40.0000	|	false	|	 -440.0000
11	|	13	 |	-40.0000	|	false	|	 -480.0000
12	|	13	 |	-40.0000	|	false	|	 -520.0000
13	|	13	 |	-40.0000	|	false	|	 -560.0000
14	|	13	 |	-40.0000	|	false	|	 -600.0000
15	|	13	 |	-40.0000	|	false	|	 -640.0000
16	|	13	 |	-40.0000	|	false	|	 -680.0000
17	|	13	 |	-40.0000	|	false	|	 -720.0000
18	|	13	 |	-40.0000	|	false	|	 -760.0000
19	|	13	 |	-40.0000	|	false	|	 -800.0000
20	|	13	 |	-40.0000	|	false	|	 -840.0000
21	|	13	 |	-40.0000	|	false	|	 -880.0000
22	|	13	 |	-40.0000	|	false	|	 -920.0000
23	|	13	 |	-40.0000	|	false	|	 -960.0000
24	|	13	 |	-40.0000	|	false	|	 -1000.0000
25	|	13	 |	-40.0000	|	false	|	 -1040.0000
26	|	13	 |	-40.0000	|	false	|	 -1080.0000
27	|	13	 |	-40.0000	|	false	|	 -1120.0000
28	|	13	 |	-40.0000	|	false	|	 -1160.0000
29	|	13	 |	-40.0000	|	false	|	 -1200.0000
30	|	13	 |	-40.0000	|	false	|	 -1240.0000
31	|	13	 |	-40.0000	|	false	|	 -1280.0000
32	|	13	 |	-40.0000	|	false	|	 -1320.0000
33	|	13	 |	-40.0000	|	false	|	 -1360.0000
34	|	13	 |	-40.0000	|	false	|	 -1400.0000
35	|	13	 |	-40.0000	|	false	|	 -1440.0000
36	|	13	 |	-40.0000	|	false	|	 -1480.0000
37	|	13	 |	-40.0000	|	false	|	 -1520.0000
38	|	13	 |	-40.0000	|	false	|	 -1560.0000
39	|	13	 |	-40.0000	|	false	|	 -1600.0000
40	|	13	 |	-40.0000	|	false	|	 -1640.0000
41	|	13	 |	-40.0000	|	false	|	 -1680.0000
42	|	13	 |	-40.0000	|	false	|	 -1720.0000
43	|	13	 |	-40.0000	|	false	|	 -1760.0000
44	|	13	 |	-40.0000	|	false	|	 -1800.0000
45	|	13	 |	-40.0000	|	false	|	 -1840.0000
46	|	13	 |	-40.0000	|	false	|	 -1880.0000
47	|	13	 |	-40.0000	|	false	|	 -1920.0000
48	|	13	 |	-40.0000	|	false	|	 -1960.0000
49	|	13	 |	-40.0000	|	false	|	 -2000.0000
50	|	13	 |	-40.0000	|	false	|	 -2040.0000
51	|	13	 |	-40.0000	|	false	|	 -2080.0000
52	|	13	 |	-40.0000	|	false	|	 -2120.0000
53	|	13	 |	-40.0000	|	false	|	 -2160.0000
54	|	13	 |	-40.0000	|	false	|	 -2200.0000
55	|	13	 |	-40.0000	|	false	|	 -2240.0000
56	|	13	 |	-40.0000	|	false	|	 -2280.0000
57	|	13	 |	-40.0000	|	false	|	 -2320.0000
58	|	13	 |	-40.0000	|	false	|	 -2360.0000
59	|	13	 |	-40.0000	|	false	|	 -2400.0000
60	|	13	 |	-40.0000	|	false	|	 -2440.0000
61	|	13	 |	-40.0000	|	false	|	 -2480.0000
62	|	13	 |	-40.0000	|	false	|	 -2520.0000
63	|	13	 |	-40.0000	|	false	|	 -2560.0000
64	|	13	 |	-40.0000	|	false	|	 -2600.0000
65	|	13	 |	-40.0000	|	false	|	 -2640.0000
66	|	13	 |	-40.0000	|	false	|	 -2680.0000
67	|	13	 |	-40.0000	|	false	|	 -2720.0000
68	|	13	 |	-40.0000	|	false	|	 -2760.0000
69	|	13	 |	-40.0000	|	false	|	 -2800.0000
70	|	13	 |	-40.0000	|	false	|	 -2840.0000
71	|	13	 |	-40.0000	|	false	|	 -2880.0000
72	|	13	 |	-40.0000	|	false	|	 -2920.0000
73	|	13	 |	-40.0000	|	false	|	 -2960.0000
74	|	13	 |	-40.0000	|	false	|	 -3000.0000
75	|	7	 |	-50.0000	|	false	|	 -3050.0000
76	|	7	 |	-50.0000	|	false	|	 -3100.0000
77	|	7	 |	-50.0000	|	false	|	 -3150.0000
78	|	13	 |	-40.0000	|	false	|	 -3190.0000
79	|	13	 |	-40.0000	|	false	|	 -3230.0000
80	|	13	 |	-40.0000	|	false	|	 -3270.0000
81	|	13	 |	-40.0000	|	false	|	 -3310.0000
82	|	13	 |	-40.0000	|	false	|	 -3350.0000
83	|	14	 |	-40.0000	|	false	|	 -3390.0000
84	|	13	 |	-40.0000	|	false	|	 -3430.0000
85	|	13	 |	-40.0000	|	false	|	 -3470.0000
86	|	13	 |	-40.0000	|	false	|	 -3510.0000
87	|	13	 |	-40.0000	|	false	|	 -3550.0000
88	|	13	 |	-40.0000	|	false	|	 -3590.0000
89	|	13	 |	-40.0000	|	false	|	 -3630.0000
90	|	13	 |	-40.0000	|	false	|	 -3670.0000
91	|	13	 |	-40.0000	|	false	|	 -3710.0000
92	|	13	 |	-40.0000	|	false	|	 -3750.0000
93	|	13	 |	-40.0000	|	false	|	 -3790.0000
94	|	13	 |	-40.0000	|	false	|	 -3830.0000
95	|	13	 |	-40.0000	|	false	|	 -3870.0000
96	|	13	 |	-40.0000	|	false	|	 -3910.0000
97	|	13	 |	-40.0000	|	false	|	 -3950.0000
98	|	13	 |	-40.0000	|	false	|	 -3990.0000
99	|	13	 |	-40.0000	|	false	|	 -4030.0000
100	|	7	 |	-50.0000	|	false	|	 -4080.0000
101	|	13	 |	-40.0000	|	false	|	 -4120.0000
102	|	13	 |	-40.0000	|	false	|	 -4160.0000
103	|	13	 |	-40.0000	|	false	|	 -4200.0000
104	|	13	 |	-40.0000	|	false	|	 -4240.0000
105	|	13	 |	-40.0000	|	false	|	 -4280.0000
